"title","rating","duration","certificate","release_date","review_date","reviewer","url","release_year","release_month","sentiment","p_positive","p_negative"
"Good People",2,88,"15","2015-08-21","2015-07-23 09:00:00","David Hughes"," https://www.empireonline.com/movies/good-people/review/",2015,8,"pos",0.53,0.46
"Manglehorn",3,97,"12A","2015-08-07","2015-07-23 09:00:00","Angie Errigo"," https://www.empireonline.com/movies/manglehorn/review/",2015,8,"pos",0.5,0.5
"The Diary Of A Teenage Girl",4,102,"18","2015-08-07","2015-07-23 09:00:00","Phil De Semlyen"," https://www.empireonline.com/movies/diary-teenage-girl/review/",2015,8,"neg",0.4,0.59
"Precinct Seven Five",4,104,"15","2015-08-14","2015-07-23 09:00:00","Simon Crook"," https://www.empireonline.com/movies/precinct-seven-five/review/",2015,8,"pos",0.64,0.35
"Mistress America",4,86,"15","2015-08-14","2015-07-23 09:00:00","Ian Freer"," https://www.empireonline.com/movies/mistress-america/review/",2015,8,"pos",0.7,0.29
"The Wolfpack",4,80,"PG","2015-08-21","2015-07-23 09:00:00","Ian Freer"," https://www.empireonline.com/movies/wolfpack/review/",2015,8,"pos",0.5,0.49
"Ruth & Alex",3,90,"12A","2015-07-24","2015-07-23 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/ruth-alex/review/",2015,7,"pos",0.71,0.28
"Death Of A Gentleman",4,90,"12A","2015-08-07","2015-07-23 09:00:00","David Parkinson"," https://www.empireonline.com/movies/death-gentleman/review/",2015,8,"pos",0.52,0.47
"Theeb",4,100,"PG","2015-08-14","2015-07-23 09:00:00","David Parkinson"," https://www.empireonline.com/movies/theeb/review/",2015,8,"pos",0.5,0.5
"The Last Sparks Of Sundown",3,90,"15","2015-07-27","2015-07-23 09:00:00","Ian Freer"," https://www.empireonline.com/movies/last-sparks-sundown/review/",2015,7,"pos",0.57,0.42
"52 Tuesdays",4,114,"15","2015-08-07","2015-07-23 09:00:00","David Hughes"," https://www.empireonline.com/movies/52-tuesdays/review/",2015,8,"pos",0.5,0.5
"Gemma Bovery",3,99,"15","2015-08-21","2015-07-23 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/gemma-bovery/review/",2015,8,"pos",0.5,0.5
"The Treatment",4,131,"18","2015-08-21","2015-07-23 09:00:00","Kim Newman"," https://www.empireonline.com/movies/treatment/review/",2015,8,"pos",0.53,0.46
"Self/Less",2,116,"12A","2015-07-17","2015-07-16 09:00:00","Kim Newman"," https://www.empireonline.com/movies/self-less/review/",2015,7,"pos",0.5,0.5
"Magic Mike XXL",2,115,"15","2015-07-03","2015-06-29 09:00:00","Ian Freer"," https://www.empireonline.com/movies/magic-mike-xxl/review/",2015,7,"pos",0.68,0.31
"The Salt Of The Earth",5,110,"12A","2015-07-17","2015-06-28 09:00:00","David Hughes"," https://www.empireonline.com/movies/salt-earth/review/",2015,7,"pos",0.54,0.45
"13 Minutes",3,114,"15","2015-07-17","2015-06-28 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/13-minutes/review/",2015,7,"neg",0.42,0.57
"Maggie",3,95,"15","2015-07-24","2015-06-28 09:00:00","Kim Newman"," https://www.empireonline.com/movies/maggie/review/",2015,7,"pos",0.6,0.39
"Dear White People",4,106,"15","2015-07-10","2015-06-28 09:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/dear-white-people/review/",2015,7,"pos",0.51,0.48
"The Human Centipede 3 (Final Sequence)",4,103,"18","2015-07-10","2015-06-28 09:00:00","Kim Newman"," https://www.empireonline.com/movies/human-centipede-3-final-sequence/review/",2015,7,"pos",0.71,0.28
"Love & Mercy",4,121,"12A","2015-07-10","2015-06-28 09:00:00","Ian Freer"," https://www.empireonline.com/movies/love-mercy/review/",2015,7,"neg",0.41,0.58
"True Story",4,99,"15","2015-07-17","2015-06-28 09:00:00","David Hughes"," https://www.empireonline.com/movies/true-story/review/",2015,7,"pos",0.67,0.32
"Southpaw",3,124,"15","2015-07-24","2015-06-28 09:00:00","Damon Wise"," https://www.empireonline.com/movies/southpaw/review/",2015,7,"pos",0.5,0.5
"The Wonders",3,111,"15","2015-07-17","2015-06-28 09:00:00","David Parkinson"," https://www.empireonline.com/movies/wonders/review/",2015,7,"pos",0.62,0.37
"Man With A Movie Camera",5,67,"U","1929-12-30","2015-06-28 09:00:00","Ian Freer"," https://www.empireonline.com/movies/man-movie-camera/review/",1929,12,"neg",0.49,0.5
"The First Film",3,110,"PG","2015-07-03","2015-06-27 09:00:00","Ian Freer"," https://www.empireonline.com/movies/first-film/review/",2015,7,"pos",0.53,0.46
"Magician: The Astonishing Life & Work Of Orson Welles",4,91,"12A","2015-07-03","2015-06-27 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/magician-astonishing-life-work-orson-welles/review/",2015,7,"neg",0.25,0.74
"Comet",3,89,"15","2015-07-03","2015-06-27 09:00:00","Liz Beardsworth"," https://www.empireonline.com/movies/comet/review/",2015,7,"neg",0.38,0.61
"The Choir",3,103,"PG","2015-07-10","2015-06-27 09:00:00","Ian Freer"," https://www.empireonline.com/movies/choir/review/",2015,7,"pos",0.5,0.49
"Still The Water",3,121,"15","2015-07-03","2015-06-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/still-water/review/",2015,7,"pos",0.51,0.48
"The Sugar Film",3,97,"12A","2015-06-26","2015-06-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/sugar-film/review/",2015,6,"pos",0.62,0.37
"The Reunion",3,88,"15","2015-07-10","2015-06-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/reunion/review/",2015,7,"neg",0.47,0.52
"Eden",4,131,"15","2015-07-24","2015-06-26 09:00:00","Dan Jolin"," https://www.empireonline.com/movies/eden/review/",2015,7,"pos",0.58,0.41
"Fabergé: A Life Of Its Own",2,87,"PG","2015-06-29","2015-06-25 09:00:00","David Parkinson"," https://www.empireonline.com/movies/faberge-life/review/",2015,6,"pos",0.68,0.31
"Insidious: Chapter 3",3,98,"15","2015-06-05","2015-06-25 09:00:00","Owen Williams"," https://www.empireonline.com/movies/insidious-chapter-3-2/review/",2015,6,"neg",0.34,0.65
"Everyones Going To Die",3,83,"15","2015-06-26","2015-06-25 09:00:00","Simon Crook"," https://www.empireonline.com/movies/everyones-going-die/review/",2015,6,"neg",0.44,0.55
"The Burning",3,98,"15","2015-06-19","2015-06-25 09:00:00","Ian Freer"," https://www.empireonline.com/movies/burning/review/",2015,6,"pos",0.56,0.43
"The Overnight",4,78,"15","2015-06-26","2015-06-22 09:00:00","Ian Freer"," https://www.empireonline.com/movies/overnight/review/",2015,6,"pos",0.61,0.38
"Everly",4,92,"18","2015-05-01","2015-06-09 09:00:00","Nick De Semlyen"," https://www.empireonline.com/movies/everly/review/",2015,5,"pos",0.5,0.5
"Insidious Chapter 3",3,97,"15","2015-06-05","2015-06-04 09:00:00","Owen Williams"," https://www.empireonline.com/movies/insidious-chapter-3/review/",2015,6,"neg",0.34,0.65
"Song Of The Sea",5,93,"PG","2015-07-10","2015-06-03 09:00:00","Will Lawrence"," https://www.empireonline.com/movies/song-sea/review/",2015,7,"pos",0.65,0.34
"The Gallows",2,80,"15","2015-07-17","2015-05-27 09:00:00","Kim Newman"," https://www.empireonline.com/movies/gallows/review/",2015,7,"pos",0.5,0.49
"Second Coming",3,105,"15","2015-06-05","2015-05-24 09:00:00","Simon Crook"," https://www.empireonline.com/movies/second-coming/review/",2015,6,"pos",0.52,0.47
"West",4,102,"15","2015-06-12","2015-05-24 09:00:00","David Hughes"," https://www.empireonline.com/movies/west/review/",2015,6,"neg",0.39,0.6
"Gascoigne",3,90,"15","2015-06-12","2015-05-24 09:00:00","Ian Freer"," https://www.empireonline.com/movies/gascoigne/review/",2015,6,"pos",0.5,0.5
"Unhallowed Ground",2,97,"15","2015-06-12","2015-05-24 09:00:00","Kim Newman"," https://www.empireonline.com/movies/unhallowed-ground/review/",2015,6,"neg",0.47,0.52
"Accidental Love",1,100,"15","2015-06-19","2015-05-24 09:00:00","Angie Errigo"," https://www.empireonline.com/movies/accidental-love/review/",2015,6,"pos",0.54,0.45
"Shes Funny That Way",2,94,"12A","2015-06-26","2015-05-24 09:00:00","Ian Freer"," https://www.empireonline.com/movies/s-funny-way/review/",2015,6,"neg",0.49,0.5
"Slow West",4,84,"15","2015-06-26","2015-05-24 09:00:00","Olly Richards"," https://www.empireonline.com/movies/slow-west/review/",2015,6,"neg",0.43,0.56
"Listen Up Philip",2,109,"15","2015-06-05","2015-05-24 09:00:00","David Hughes"," https://www.empireonline.com/movies/listen-philip/review/",2015,6,"pos",0.66,0.33
"The Longest Ride",3,128,"12A","2015-06-19","2015-05-24 09:00:00","Kat Halstead"," https://www.empireonline.com/movies/longest-ride/review/",2015,6,"pos",0.54,0.45
"The Wrecking Crew",4,101,"PG","2015-06-26","2015-05-24 09:00:00","Ian Freer"," https://www.empireonline.com/movies/wrecking-crew/review/",2015,6,"pos",0.64,0.35
"The Look Of Silence",5,103,"15","2015-06-12","2015-05-24 09:00:00","David Hughes"," https://www.empireonline.com/movies/look-silence/review/",2015,6,"neg",0.41,0.58
"Queen And Country",4,115,"15","2015-06-05","2015-05-24 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/queen-country/review/",2015,6,"pos",0.7,0.29
"Anti-Social",1,117,"PG","2015-05-01","2015-04-21 09:00:00","Simon Crook"," https://www.empireonline.com/movies/anti-social/review/",2015,5,"pos",0.5,0.5
"The Good Lie",3,109,"12A","2015-04-24","2015-04-20 09:00:00","Anna Smith"," https://www.empireonline.com/movies/good-lie/review/",2015,4,"pos",0.61,0.38
"Last Knights",2,112,"15","2015-04-17","2015-04-17 09:00:00","Andrew Osmond"," https://www.empireonline.com/movies/last-knights/review/",2015,4,"pos",0.76,0.23
"Girlhood",4,112,"15","2015-05-08","2015-04-16 09:00:00","Ian Freer"," https://www.empireonline.com/movies/girlhood/review/",2015,5,"pos",0.5,0.5
"Child 44",2,137,"15","2015-04-15","2015-04-15 09:00:00","Ali Plumb"," https://www.empireonline.com/movies/child-44-2/review/",2015,4,"pos",0.58,0.41
"Sixteen",3,79,"15","2015-03-27","2015-03-27 09:00:00","David Parkinson"," https://www.empireonline.com/movies/sixteen/review/",2015,3,"pos",0.59,0.4
"The Last Five Years",3,94,"12A","2015-04-17","2015-03-26 09:00:00","David Hughes"," https://www.empireonline.com/movies/last-five-years/review/",2015,4,"pos",0.52,0.47
"Hot Tub Time Machine 2",2,93,"15","2015-04-10","2015-03-26 09:00:00","William Goss"," https://www.empireonline.com/movies/hot-tub-time-machine-2/review/",2015,4,"neg",0.33,0.66
"The Dark Horse",4,124,"15","2015-04-03","2015-03-26 09:00:00","David Hughes"," https://www.empireonline.com/movies/dark-horse-2/review/",2015,4,"pos",0.53,0.46
"Kidnapping Freddy Heineken",2,95,"15","2015-04-03","2015-03-26 09:00:00","Will Lawrence"," https://www.empireonline.com/movies/kidnapping-freddy-heineken/review/",2015,4,"neg",0.34,0.65
"The Town That Dreaded Sundown",3,86,"18","2015-04-17","2015-03-26 09:00:00","Kim Newman"," https://www.empireonline.com/movies/town-dreaded-sundown/review/",2015,4,"pos",0.64,0.35
"A Pigeon Sat On A Branch Reflecting On Existence",4,100,"12A","2015-04-24","2015-03-26 09:00:00","David Hughes"," https://www.empireonline.com/movies/pigeon-sat-branch-reflecting-existence/review/",2015,4,"pos",0.68,0.31
"The Duff",3,100,"12A","2015-04-06","2015-03-26 09:00:00","William Goss"," https://www.empireonline.com/movies/duff/review/",2015,4,"pos",0.5,0.49
"Something Must Break",3,85,"18","2015-04-03","2015-03-26 09:00:00","Ian Freer"," https://www.empireonline.com/movies/something-must-break/review/",2015,4,"pos",0.58,0.41
"Jauja",4,100,"15","2015-04-10","2015-03-26 09:00:00","David Parkinson"," https://www.empireonline.com/movies/jauja/review/",2015,4,"pos",0.5,0.5
"Dark Horse: The Incredible True Story Of Dream Alliance",3,86,"PG","2015-04-17","2015-03-26 09:00:00","Anna Smith"," https://www.empireonline.com/movies/dark-horse-incredible-true-story-dream-alliance/review/",2015,4,"pos",0.95,0.04
"Broken Horses",3,101,"15","2015-04-10","2015-03-26 09:00:00","William Thomas"," https://www.empireonline.com/movies/broken-horses/review/",2015,4,"neg",0.4,0.59
"Stonehearst Asylum",4,112,"15","2015-04-24","2015-03-24 09:00:00","Kim Newman"," https://www.empireonline.com/movies/stonehearst-asylum/review/",2015,4,"pos",0.64,0.35
"The Water Diviner",3,111,"15","2015-04-03","2015-03-24 09:00:00","Ian Freer"," https://www.empireonline.com/movies/water-diviner/review/",2015,4,"neg",0.47,0.52
"Glassland",3,89,"15","2015-04-17","2015-03-24 09:00:00","Simon Crook"," https://www.empireonline.com/movies/glassland/review/",2015,4,"pos",0.5,0.5
"Rigor Mortis",3,105,"18","2015-03-27","2015-03-24 09:00:00","Kim Newman"," https://www.empireonline.com/movies/rigor-mortis/review/",2015,3,"pos",0.5,0.5
"The Salvation",4,92,"15","2015-04-17","2015-03-23 09:00:00","Damon Wise"," https://www.empireonline.com/movies/salvation/review/",2015,4,"pos",0.57,0.42
"Good Kill",4,102,"15","2015-04-10","2015-03-23 09:00:00","Ian Freer"," https://www.empireonline.com/movies/good-kill/review/",2015,4,"neg",0.42,0.57
"The Falling",3,102,"15","2015-04-24","2015-03-23 09:00:00","Simon Crook"," https://www.empireonline.com/movies/falling-2/review/",2015,4,"pos",0.51,0.48
"Force Majeure",4,119,"15","2015-04-10","2015-03-23 09:00:00","David Hughes"," https://www.empireonline.com/movies/force-majeure/review/",2015,4,"pos",0.6,0.39
"The Decent One",4,96,"14","2015-04-03","2015-03-23 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/decent-one/review/",2015,4,"neg",0.38,0.61
"John Wick",4,101,"15","2015-04-10","2015-03-23 09:00:00","James Dyer"," https://www.empireonline.com/movies/john-wick/review/",2015,4,"pos",0.51,0.48
"Lost River",3,95,"15","2015-04-10","2015-03-23 09:00:00","Kim Newman"," https://www.empireonline.com/movies/lost-river/review/",2015,4,"pos",0.59,0.4
"Altman",3,95,"15","2015-04-03","2015-03-23 09:00:00","David Hughes"," https://www.empireonline.com/movies/altman/review/",2015,4,"pos",0.67,0.32
"Dior and I",3,89,"12A","2015-03-27","2015-03-23 08:00:00","David Parkinson"," https://www.empireonline.com/movies/dior/review/",2015,3,"pos",0.5,0.5
"The Divergent Series: Insurgent",3,119,"12A","2015-03-20","2015-03-16 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/divergent-series-insurgent/review/",2015,3,"pos",0.85,0.14
"Cobain: Montage Of Heck",3,132,"15","2015-04-10","2015-03-13 09:00:00","James Dyer"," https://www.empireonline.com/movies/cobain-montage-heck/review/",2015,4,"neg",0.36,0.63
"Run All Night",3,114,"15","2015-03-13","2015-03-10 17:00:00","Chris Hewitt"," https://www.empireonline.com/movies/run-night/review/",2015,3,"neg",0.49,0.5
"The Gunman",3,115,"15","2015-03-20","2015-03-09 09:00:00","James Dyer"," https://www.empireonline.com/movies/gunman/review/",2015,3,"neg",0.1,0.89
"Elle L'Adore",3,105,"15","2015-03-13","2015-03-09 09:00:00","David Parkinson"," https://www.empireonline.com/movies/elle-ladore/review/",2015,3,"neg",0.25,0.75
"Lou!",2,100,"12A","2015-03-13","2015-03-09 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/lou/review/",2015,3,"neg",0.38,0.61
"Unfinished Business",2,91,"15","2015-03-06","2015-03-04 09:00:00","Chris Hewitt"," https://www.empireonline.com/movies/unfinished-business/review/",2015,3,"pos",0.64,0.35
"While We're Young",4,96,"15","2015-04-03","2015-02-27 09:00:00","Ian Freer"," https://www.empireonline.com/movies/re-young/review/",2015,4,"pos",0.61,0.38
"A Royal Night Out",3,97,"12A","2015-05-15","2015-02-25 09:00:00","Olly Richards"," https://www.empireonline.com/movies/royal-night/review/",2015,5,"pos",0.64,0.35
"Wild Tales",4,122,"15","2015-03-27","2015-02-23 09:00:00","Damon Wise"," https://www.empireonline.com/movies/wild-tales/review/",2015,3,"pos",0.56,0.43
"Appropriate Behaviour",3,86,"15","2015-03-06","2015-02-23 09:00:00","Anna Smith"," https://www.empireonline.com/movies/appropriate-behaviour/review/",2015,3,"pos",0.87,0.12
"Backstreet Boys: Show 'Em What You're Made Of",3,101,"15","1970-01-01","2015-02-23 09:00:00","Anna Smith"," https://www.empireonline.com/movies/backstreet-boys-show-em-re-made/review/",1970,1,"pos",0.7,0.29
"White Bird In A Blizzard",3,91,"15","2015-03-06","2015-02-23 09:00:00","Phil De Semlyen"," https://www.empireonline.com/movies/white-bird-blizzard/review/",2015,3,"neg",0.35,0.64
