"Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker"
1,4,15,2,"New Car",3556,5,"Less than 4 year",3,"Male married/widowed",1,2,4,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,3,42,4,"Used Car",4796,1,"Over 7 years",4,"Male married/widowed",1,4,4,"Fifties",3,"Own",1,"Skilled employee",1,1,1
1,3,30,4,"Radio or Television",3017,1,"Over 7 years",4,"Male married/widowed",1,4,2,"Forties",3,"Rent",1,"Skilled employee",1,1,1
1,4,36,4,"New Car",3535,1,"Less than 7 year",4,"Male married/widowed",1,4,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,36,4,"New Car",6614,1,"Over 7 years",4,"Male married/widowed",1,4,3,"Thirties",3,"Rent",2,"Highly qualified employee",1,2,1
1,4,24,2,"Radio or Television",1376,3,"Less than 7 year",4,"Male single",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,1,15,2,"New Car",1721,1,"Less than 1 year",2,"Male married/widowed",1,3,1,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,1,6,4,"New Car",860,1,"Over 7 years",1,"Male single",1,4,4,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,12,4,"New Car",1495,1,"Over 7 years",4,"Male married/widowed",1,1,1,"Thirties",3,"Rent",2,"Unskilled",2,1,1
1,4,12,4,"Radio or Television",1934,1,"Over 7 years",2,"Male married/widowed",1,2,4,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,4,18,2,"Used Car",3378,5,"Less than 4 year",2,"Male married/widowed",1,1,2,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,4,"Used Car",3868,1,"Over 7 years",4,"Male single",1,2,3,"Forties",3,"For free",2,"Highly qualified employee",1,2,1
1,4,12,4,"Repairs",996,5,"Less than 7 year",4,"Male single",1,4,1,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,1,24,2,"Others",1755,1,"Over 7 years",4,"Male single",3,4,1,"Fifties",3,"Rent",1,"Unskilled",1,2,1
1,4,18,4,"New Car",1028,1,"Less than 4 year",4,"Male single",1,3,1,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,2,24,4,"Business",2825,5,"Less than 7 year",4,"Male married/widowed",1,3,4,"Thirties",3,"Rent",2,"Skilled employee",2,2,1
1,2,18,2,"Education",1239,5,"Less than 4 year",4,"Male married/widowed",1,4,4,"Sixties",3,"Own",1,"Skilled employee",1,1,1
0,1,18,2,"New Car",1216,1,"Less than 1 year",4,"Male single",1,3,3,"Twenties",3,"For free",1,"Skilled employee",1,2,1
1,4,24,2,"Business",1258,1,"Less than 7 year",4,"Male married/widowed",1,1,1,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
0,4,18,4,"Education",1864,2,"Less than 4 year",4,"Male single",1,2,1,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,4,24,2,"New Car",1474,2,"Less than 1 year",4,"Female",1,3,1,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,1,24,4,"Business",1382,2,"Less than 7 year",4,"Male married/widowed",1,1,1,"Twenties",3,"Rent",2,"Skilled employee",1,2,1
1,4,12,2,"New Car",640,1,"Less than 4 year",4,"Male Divorced",1,2,1,"Forties",3,"Rent",1,"Unskilled",1,1,1
1,3,36,2,"Radio or Television",3919,1,"Less than 4 year",2,"Male married/widowed",1,2,1,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,4,9,4,"New Car",1224,1,"Less than 4 year",3,"Male married/widowed",1,1,1,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,4,12,4,"Radio or Television",2331,5,"Over 7 years",1,"Male married/widowed",2,4,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,2,"Used Car",6313,5,"Over 7 years",3,"Male married/widowed",1,4,3,"Forties",3,"Rent",1,"Highly qualified employee",2,2,1
1,1,12,4,"Radio or Television",385,1,"Less than 7 year",4,"Male single",1,3,1,"Fifties",3,"Rent",4,"Unskilled",1,2,1
1,4,12,4,"Radio or Television",1655,1,"Over 7 years",2,"Male married/widowed",1,4,1,"Sixties",3,"Rent",2,"Unskilled",1,2,1
1,1,15,2,"Radio or Television",1053,1,"Less than 1 year",4,"Female",1,2,1,"Twenties",3,"Rent",1,"Skilled employee",1,1,2
1,4,21,2,"Radio or Television",3160,5,"Over 7 years",4,"Male married/widowed",1,3,2,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,36,2,"New Car",3079,5,"Less than 4 year",4,"Male married/widowed",1,4,1,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,4,12,4,"New Car",1163,3,"Less than 4 year",4,"Male married/widowed",1,4,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,2,"Used Car",2679,1,"Less than 1 year",4,"Male single",1,1,4,"Twenties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,48,4,"Radio or Television",3578,5,"Over 7 years",4,"Male married/widowed",1,1,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,36,3,"New Car",10875,1,"Over 7 years",2,"Male married/widowed",1,2,3,"Forties",3,"Rent",2,"Skilled employee",2,2,1
1,1,12,3,"New Car",1344,1,"Less than 4 year",4,"Male married/widowed",1,2,1,"Forties",3,"Rent",2,"Unskilled",2,1,1
1,4,6,4,"Radio or Television",1237,2,"Less than 4 year",1,"Male single",1,1,2,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,4,12,2,"Radio or Television",3077,1,"Less than 4 year",2,"Male married/widowed",1,4,3,"Fifties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,2,"Radio or Television",2284,1,"Less than 7 year",4,"Male married/widowed",1,2,3,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,2,12,2,"Radio or Television",1567,1,"Less than 4 year",1,"Male single",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,3,"New Car",2032,1,"Over 7 years",4,"Male married/widowed",1,4,4,"Sixties",3,"Own",2,"Skilled employee",1,2,1
1,2,21,4,"Furniture Or Equipment",2745,4,"Less than 7 year",3,"Male married/widowed",1,2,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,30,2,"Radio or Television",1867,5,"Over 7 years",4,"Male married/widowed",1,4,3,"Fifties",3,"Rent",1,"Skilled employee",1,2,1
1,4,36,2,"Radio or Television",2299,3,"Over 7 years",4,"Male married/widowed",1,4,3,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,4,24,2,"Furniture Or Equipment",929,5,"Less than 7 year",4,"Male married/widowed",1,2,3,"Thirties",2,"Rent",1,"Skilled employee",1,2,1
1,3,12,2,"Radio or Television",3399,5,"Over 7 years",2,"Male married/widowed",1,3,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,1,1
1,2,9,2,"Furniture Or Equipment",2030,5,"Less than 7 year",2,"Male married/widowed",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,4,21,4,"Used Car",3275,1,"Over 7 years",1,"Male married/widowed",1,4,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,24,4,"New Car",1940,4,"Over 7 years",4,"Male married/widowed",1,4,1,"Sixties",3,"Rent",1,"Skilled employee",1,2,1
1,1,21,4,"New Car",1602,1,"Over 7 years",4,"Female",1,3,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,15,2,"Radio or Television",1979,5,"Over 7 years",4,"Male married/widowed",1,2,3,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,4,24,4,"New Car",2022,1,"Less than 4 year",4,"Male single",1,4,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,36,4,"Radio or Television",3342,5,"Over 7 years",4,"Male married/widowed",1,2,3,"Fifties",3,"Rent",1,"Skilled employee",1,2,1
1,2,18,2,"New Car",5866,2,"Less than 4 year",2,"Male married/widowed",1,2,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,3,15,4,"Used Car",2360,3,"Less than 4 year",2,"Male married/widowed",1,2,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,15,4,"Furniture Or Equipment",1520,5,"Over 7 years",4,"Male married/widowed",1,4,2,"Sixties",3,"Rent",1,"Skilled employee",1,1,1
1,1,12,2,"New Car",3651,4,"Less than 4 year",1,"Male married/widowed",1,3,2,"Thirties",3,"Rent",1,"Skilled employee",2,1,1
1,4,24,4,"Used Car",2346,1,"Less than 7 year",4,"Male married/widowed",1,3,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,36,3,"Radio or Television",4454,1,"Less than 4 year",4,"Male single",1,4,1,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,1,6,4,"New Car",666,4,"Less than 7 year",3,"Male single",1,4,1,"Thirties",3,"Rent",2,"Unskilled",1,2,1
1,2,24,3,"New Car",1965,5,"Less than 4 year",4,"Male single",1,4,3,"Forties",3,"For free",2,"Skilled employee",1,2,1
1,2,12,4,"New Car",1995,2,"Less than 1 year",4,"Male married/widowed",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,2,30,2,"Radio or Television",2991,5,"Over 7 years",2,"Male single",1,4,3,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,2,30,0,"Business",4221,1,"Less than 4 year",2,"Male single",1,1,3,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,1,9,2,"Radio or Television",1364,1,"Less than 7 year",3,"Male married/widowed",1,4,1,"Fifties",3,"Rent",1,"Skilled employee",1,1,1
1,2,18,4,"Furniture Or Equipment",6361,1,"Over 7 years",2,"Male married/widowed",1,1,4,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,27,4,"Furniture Or Equipment",4526,4,"Less than 1 year",4,"Male married/widowed",1,2,1,"Thirties",2,"Rent",2,"Unskilled",2,2,1
1,2,12,4,"Radio or Television",3573,1,"Less than 4 year",1,"Male single",1,1,1,"Twenties",3,"Rent",1,"Unskilled",1,1,1
0,2,36,3,"Business",4455,1,"Less than 4 year",2,"Male Divorced",1,2,1,"Thirties",2,"Rent",2,"Highly qualified employee",1,2,1
1,1,9,2,"Furniture Or Equipment",2136,1,"Less than 4 year",3,"Male married/widowed",1,2,1,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,2,42,4,"Business",5954,1,"Less than 7 year",2,"Male single",1,1,1,"Forties",1,"Rent",2,"Unskilled",1,1,1
1,4,24,4,"Furniture Or Equipment",3777,4,"Less than 4 year",4,"Male married/widowed",1,4,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,1,15,2,"Business",806,1,"Less than 4 year",4,"Male single",1,4,2,"Twenties",3,"Rent",1,"Unskilled",1,1,1
1,2,24,3,"Business",4712,5,"Less than 4 year",4,"Male married/widowed",1,2,2,"Thirties",1,"Rent",2,"Highly qualified employee",1,2,1
1,2,36,3,"New Car",7432,1,"Less than 4 year",2,"Male single",1,2,2,"Fifties",3,"For free",1,"Skilled employee",1,1,1
1,4,24,4,"Radio or Television",1851,1,"Less than 7 year",4,"Female",3,2,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,24,2,"New Car",1393,1,"Less than 4 year",2,"Male married/widowed",3,2,1,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,12,4,"Business",1412,1,"Less than 4 year",4,"Male single",3,2,1,"Twenties",3,"Rent",2,"Highly qualified employee",1,2,1
1,4,18,2,"Radio or Television",1473,1,"Less than 1 year",3,"Female",1,4,1,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,2,"Radio or Television",1533,1,"Less than 1 year",4,"Male single",1,3,3,"Thirties",2,"Rent",1,"Skilled employee",1,2,1
1,4,12,4,"Education",2012,5,"Less than 7 year",4,"Male single",1,2,3,"Sixties",3,"Rent",1,"Skilled employee",1,1,1
0,1,15,2,"New Car",3959,1,"Less than 4 year",3,"Male single",1,2,2,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,1,6,2,"Furniture Or Equipment",428,1,"Over 7 years",2,"Male single",1,1,2,"Forties",1,"Rent",1,"Skilled employee",1,2,1
1,2,12,4,"New Car",2366,3,"Less than 7 year",3,"Male Divorced",1,3,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,12,2,"Furniture Or Equipment",763,1,"Less than 4 year",4,"Male single",1,1,1,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,2,21,2,"Furniture Or Equipment",3976,5,"Less than 7 year",2,"Male married/widowed",1,3,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,2,18,2,"New Car",6260,1,"Less than 7 year",3,"Male married/widowed",1,3,1,"Twenties",3,"For free",1,"Unskilled",1,1,1
1,2,9,4,"Furniture Or Equipment",1919,1,"Less than 7 year",4,"Male married/widowed",1,3,3,"Thirties",3,"For free",1,"Skilled employee",1,2,1
1,4,24,2,"Used Car",2603,4,"Less than 4 year",2,"Male single",1,4,3,"Twenties",3,"For free",1,"Skilled employee",1,2,1
1,4,9,4,"Education",936,3,"Over 7 years",4,"Male married/widowed",1,2,3,"Fifties",3,"Rent",2,"Skilled employee",1,2,1
1,4,24,2,"Furniture Or Equipment",3062,3,"Over 7 years",4,"Male married/widowed",1,3,4,"Thirties",3,"For free",1,"Skilled employee",1,2,1
1,2,36,2,"Radio or Television",4795,1,"Less than 1 year",4,"Male single",1,1,4,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,36,4,"Used Car",5842,1,"Over 7 years",2,"Male married/widowed",1,2,2,"Thirties",3,"Rent",2,"Skilled employee",2,2,1
1,2,6,2,"Radio or Television",2063,1,"Less than 1 year",4,"Female",1,3,3,"Thirties",3,"For free",1,"Highly qualified employee",1,2,1
1,4,15,4,"Radio or Television",1459,1,"Less than 4 year",4,"Male single",1,2,3,"Forties",3,"Rent",1,"Unskilled",1,1,1
1,4,15,2,"Radio or Television",1213,3,"Over 7 years",4,"Male married/widowed",1,3,2,"Forties",2,"Rent",1,"Skilled employee",1,2,1
1,4,24,4,"Radio or Television",5103,1,"Less than 1 year",3,"Female",1,3,4,"Forties",3,"Own",3,"Skilled employee",1,2,1
1,4,15,2,"Domestic Appliances",874,5,"Less than 1 year",4,"Male single",1,1,1,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,4,6,2,"Furniture Or Equipment",2978,3,"Less than 4 year",1,"Male married/widowed",1,2,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,18,2,"New Car",1820,1,"Less than 4 year",2,"Female",1,2,2,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,24,4,"Radio or Television",2872,2,"Over 7 years",3,"Male married/widowed",1,4,1,"Thirties",3,"Rent",1,"Skilled employee",2,2,1
1,3,24,2,"Furniture Or Equipment",1925,1,"Less than 4 year",2,"Male married/widowed",1,2,1,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,4,18,2,"Furniture Or Equipment",2515,1,"Less than 4 year",3,"Male married/widowed",1,4,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,3,6,2,"Furniture Or Equipment",2116,1,"Less than 4 year",2,"Male married/widowed",1,2,1,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,18,2,"Radio or Television",1453,1,"Less than 1 year",3,"Male single",1,1,1,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,4,10,2,"New Car",1364,1,"Less than 4 year",2,"Male single",1,4,3,"Sixties",3,"Rent",1,"Skilled employee",1,2,1
1,4,6,2,"Furniture Or Equipment",1543,4,"Less than 4 year",4,"Male Divorced",1,2,1,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,2,12,2,"New Car",1318,4,"Over 7 years",4,"Male married/widowed",1,4,1,"Fifties",3,"Rent",1,"Skilled employee",1,2,1
1,1,24,1,"New Car",2325,2,"Less than 7 year",2,"Male married/widowed",1,3,3,"Thirties",1,"Rent",1,"Skilled employee",1,1,1
1,2,6,4,"Retraining",932,5,"Less than 7 year",1,"Male single",1,3,2,"Thirties",3,"Rent",2,"Unskilled",1,1,1
1,3,24,4,"Radio or Television",3148,5,"Less than 4 year",3,"Male married/widowed",1,2,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,36,2,"Radio or Television",3835,5,"Over 7 years",2,"Male single",1,4,1,"Forties",3,"Rent",1,"Unskilled",1,2,1
1,4,9,2,"Education",3832,5,"Over 7 years",1,"Male married/widowed",1,4,1,"Sixties",3,"Rent",1,"Unskilled",1,1,1
1,2,24,2,"Radio or Television",5084,5,"Over 7 years",2,"Male single",1,4,3,"Forties",3,"Rent",1,"Skilled employee",1,2,1
1,4,9,4,"Furniture Or Equipment",2406,1,"Unemployed",2,"Male married/widowed",1,3,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,1,1
1,4,36,2,"Radio or Television",2394,5,"Less than 4 year",4,"Male single",1,4,3,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,4,21,2,"Used Car",2476,5,"Over 7 years",4,"Male married/widowed",1,4,1,"Forties",3,"Rent",1,"Highly qualified employee",1,2,1
1,1,24,2,"Used Car",2964,5,"Over 7 years",4,"Male married/widowed",1,4,4,"Forties",1,"Own",1,"Skilled employee",2,2,1
1,1,12,2,"Furniture Or Equipment",1262,5,"Over 7 years",2,"Male Divorced",1,4,2,"Forties",3,"Rent",1,"Unskilled",1,2,1
1,4,12,2,"Business",1542,1,"Less than 7 year",2,"Male married/widowed",1,4,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,2,24,4,"Radio or Television",1743,1,"Over 7 years",4,"Male married/widowed",1,2,2,"Forties",3,"Rent",2,"Unskilled",1,1,1
1,3,12,1,"Radio or Television",409,4,"Less than 4 year",3,"Male single",1,3,1,"Forties",3,"For free",2,"Skilled employee",1,1,1
1,4,12,2,"Radio or Television",2171,1,"Less than 1 year",2,"Male single",1,2,3,"Twenties",1,"Rent",1,"Skilled employee",1,1,1
1,4,48,4,"Used Car",8858,5,"Less than 7 year",2,"Male married/widowed",1,1,4,"Thirties",3,"Own",2,"Skilled employee",1,2,1
1,2,24,2,"New Car",3512,2,"Less than 7 year",2,"Male married/widowed",1,3,3,"Thirties",1,"Rent",2,"Skilled employee",1,2,1
1,2,12,2,"Radio or Television",1158,3,"Less than 4 year",3,"Male Divorced",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,2,1
1,4,24,4,"Radio or Television",2684,1,"Less than 4 year",4,"Male married/widowed",1,2,1,"Thirties",3,"Rent",2,"Unskilled",1,1,1
1,1,12,2,"Radio or Television",1498,1,"Less than 4 year",4,"Male single",1,1,3,"Twenties",1,"Rent",1,"Skilled employee",1,1,1
1,4,30,4,"Radio or Television",5954,1,"Less than 7 year",3,"Male married/widowed",2,2,3,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
0,2,48,1,"Business",6416,1,"Over 7 years",4,"Male single",1,3,4,"Fifties",3,"For free",1,"Skilled employee",1,1,1
1,2,12,4,"Furniture Or Equipment",3617,1,"Over 7 years",1,"Male married/widowed",1,4,3,"Twenties",3,"For free",3,"Skilled employee",1,2,1
1,4,12,4,"Radio or Television",1291,1,"Less than 4 year",4,"Male single",1,2,2,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,3,24,4,"Business",1275,4,"Less than 4 year",2,"Male Divorced",1,4,1,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,24,2,"Furniture Or Equipment",3972,1,"Less than 7 year",2,"Male single",1,4,2,"Twenties",3,"For free",1,"Skilled employee",1,2,1
1,4,15,4,"Furniture Or Equipment",3343,1,"Less than 4 year",4,"Male married/widowed",1,2,4,"Twenties",3,"Own",1,"Skilled employee",1,2,1
1,3,15,2,"Education",392,1,"Less than 1 year",4,"Male single",1,4,2,"Twenties",3,"For free",1,"Skilled employee",1,2,1
1,4,9,4,"New Car",2134,1,"Less than 4 year",4,"Male married/widowed",1,4,3,"Forties",3,"Rent",3,"Skilled employee",1,2,1
1,4,30,4,"Radio or Television",5771,1,"Less than 7 year",4,"Male single",1,2,3,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,4,24,4,"Business",4526,1,"Less than 4 year",3,"Male married/widowed",1,2,1,"Over Seventy",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,15,4,"Furniture Or Equipment",2788,1,"Less than 7 year",2,"Male single",2,3,3,"Twenties",1,"Rent",2,"Skilled employee",1,1,1
1,4,6,4,"Radio or Television",1382,1,"Less than 4 year",1,"Male single",1,1,3,"Twenties",3,"Rent",2,"Skilled employee",1,2,1
1,3,36,2,"Radio or Television",5848,1,"Less than 4 year",4,"Male married/widowed",1,1,3,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
0,1,12,2,"New Car",1228,1,"Less than 4 year",4,"Male single",1,2,1,"Twenties",3,"Rent",1,"Unskilled",1,1,1
1,3,12,2,"Radio or Television",1297,1,"Less than 4 year",3,"Female",1,4,1,"Twenties",3,"For free",1,"Skilled employee",1,1,1
1,4,24,2,"Radio or Television",1552,1,"Less than 7 year",3,"Male married/widowed",1,1,3,"Thirties",1,"Rent",1,"Skilled employee",2,1,1
1,4,12,2,"Radio or Television",1963,1,"Less than 7 year",4,"Male married/widowed",1,2,3,"Thirties",3,"For free",2,"Highly qualified employee",2,2,1
1,4,24,2,"Radio or Television",3235,3,"Over 7 years",3,"Male Divorced",1,2,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,24,4,"Business",4139,2,"Less than 4 year",3,"Male married/widowed",1,3,2,"Twenties",3,"Rent",2,"Unskilled",1,2,1
1,2,12,4,"Used Car",1804,2,"Less than 1 year",3,"Male married/widowed",1,4,2,"Forties",3,"Rent",1,"Skilled employee",1,1,1
1,4,18,2,"Business",1950,1,"Less than 7 year",4,"Male married/widowed",1,1,3,"Thirties",2,"Rent",2,"Skilled employee",1,2,1
1,4,48,3,"Radio or Television",12749,3,"Less than 7 year",4,"Male married/widowed",1,1,3,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,4,9,2,"Domestic Appliances",1236,1,"Less than 1 year",1,"Male single",1,4,1,"Twenties",3,"For free",1,"Skilled employee",1,2,1
1,4,18,4,"New Car",1055,1,"Less than 1 year",4,"Male single",1,1,2,"Thirties",3,"Rent",2,"Skilled employee",1,1,1
1,1,30,0,"Business",8072,5,"Less than 1 year",2,"Male married/widowed",1,3,3,"Twenties",1,"Rent",3,"Skilled employee",1,1,1
1,4,30,4,"Radio or Television",2831,1,"Less than 4 year",4,"Male single",1,2,3,"Thirties",3,"Rent",1,"Skilled employee",1,2,1
1,4,9,2,"Business",1449,1,"Less than 7 year",3,"Male single",1,2,3,"Twenties",3,"Rent",2,"Skilled employee",1,1,1
1,4,36,2,"Business",5742,2,"Less than 7 year",2,"Male married/widowed",1,2,3,"Thirties",3,"Rent",2,"Skilled employee",1,2,1
1,4,12,2,"New Car",2390,5,"Over 7 years",4,"Male married/widowed",1,3,3,"Fifties",3,"Rent",1,"Skilled employee",1,2,1
